id,species_id,method,observation_text,inference_text,trait_category,primary_predicate,compare_tags,is_signature,specificity,source,review_status,created_at
43,50,track,Partial field signs indicate a body mass below one tonne.,Retain candidates consistent with the broad signal: a body mass below one tonne.,key_fact,research_signal:subtonne_body_mass,{research_signal:subtonne_body_mass},f,1,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
44,50,track,"Four separated trail segments replicate a large, load-bearing ground impression.","Retain candidates with the replicated signal: a large, load-bearing ground impression.",key_fact,research_signal:large_ground_impression,{research_signal:large_ground_impression},f,2,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
45,50,track,"Eight aligned trace points resolve a large, load-bearing ground impression.","Retain candidates with the replicated signal: a large, load-bearing ground impression.",key_fact,research_signal:large_ground_impression,{research_signal:large_ground_impression},f,3,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
46,50,observe,A brief sighting indicates routine travel in contact with the ground.,Retain candidates consistent with the broad signal: routine travel in contact with the ground.,key_fact,research_signal:ground_contact_travel,{research_signal:ground_contact_travel},f,1,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
29,25,track,"A broad, deep print indicates a heavy, robust frame.",Retain candidates with a robust body plan.,morphology,body_plan:robust,{body_plan:robust},f,2,https://nationalzoo.si.edu/animals/tiger,legacy,2026-07-11 17:24:21.584256+00
47,50,observe,Four independent sightings replicate coordinated movement in a herd group.,Retain candidates with the replicated signal: coordinated movement in a herd group.,key_fact,research_signal:herd_group,{research_signal:herd_group},f,2,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
48,50,observe,Eight timed sightings resolve coordinated movement in a herd group.,Retain candidates with the replicated signal: coordinated movement in a herd group.,key_fact,research_signal:herd_group,{research_signal:herd_group},f,3,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
49,50,listen,A short listening sample supports a body larger than mouse-sized.,Retain candidates consistent with the broad signal: a body larger than mouse-sized.,key_fact,research_signal:larger_than_mouse,{research_signal:larger_than_mouse},f,1,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
50,50,listen,Four listening stations replicate contact calls exchanged across a feeding area.,Retain candidates with the replicated signal: contact calls exchanged across a feeding area.,key_fact,research_signal:contact_calls,{research_signal:contact_calls},f,2,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
51,50,listen,Eight calibrated recordings resolve contact calls exchanged across a feeding area.,Retain candidates with the replicated signal: contact calls exchanged across a feeding area.,key_fact,research_signal:contact_calls,{research_signal:contact_calls},f,3,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
52,50,survey,Initial habitat readings support body cover without overlapping scales.,Retain candidates consistent with the broad signal: body cover without overlapping scales.,key_fact,research_signal:non_scaled_body_cover,{research_signal:non_scaled_body_cover},f,1,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
53,50,survey,Four survey plots replicate persistent use of arid ground.,Retain candidates with the replicated signal: persistent use of arid ground.,key_fact,research_signal:arid_ground,{research_signal:arid_ground},f,2,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
54,50,survey,Eight mapped plots resolve persistent use of arid ground.,Retain candidates with the replicated signal: persistent use of arid ground.,key_fact,research_signal:arid_ground,{research_signal:arid_ground},f,3,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
55,50,analyze,A preliminary sample supports a diet not specialized on large vertebrate prey.,Retain candidates consistent with the broad signal: a diet not specialized on large vertebrate prey.,key_fact,research_signal:not_large_prey_specialist,{research_signal:not_large_prey_specialist},f,1,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
56,50,analyze,Four replicate samples confirm a prominent keratin-based defensive structure.,Retain candidates with the replicated signal: a prominent keratin-based defensive structure.,key_fact,research_signal:keratin_defense,{research_signal:keratin_defense},f,2,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
57,50,analyze,Eight high-resolution assays resolve a prominent keratin-based defensive structure.,Retain candidates with the replicated signal: a prominent keratin-based defensive structure.,key_fact,research_signal:keratin_defense,{research_signal:keratin_defense},f,3,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-19 04:20:34.021515+00
7,50,analyze,Water-balance evidence shows plant moisture can replace direct drinking.,This reliance on moisture from food is the case signature.,key_fact,signature:plant_moisture_replaces_drinking,{signature:plant_moisture_replaces_drinking},t,3,https://nationalzoo.si.edu/animals/addax,reviewed,2026-07-11 17:24:21.584256+00
1,50,track,"Deep, splayed hoofprints indicate a heavy, robust frame.",Retain candidates with a robust body plan.,morphology,body_plan:robust,{body_plan:robust},f,2,https://nationalzoo.si.edu/animals/addax,legacy,2026-07-11 17:24:21.584256+00
2,50,track,Hoof trails repeatedly connect sparse patches of desert grass.,Retain candidates associated with grassland habitat.,habitat,habitat_tag:grassland,{habitat_tag:grassland},f,2,https://saharaconservation.org/sahel-and-sahara-fauna/addax/,legacy,2026-07-11 17:24:21.584256+00
3,50,observe,Several adults travel and rest together as one group.,Retain candidates that normally form herds.,behavior,sociality:herd,{sociality:herd},f,3,https://nationalzoo.si.edu/animals/addax,legacy,2026-07-11 17:24:21.584256+00
4,50,observe,"Feeding observations show only grasses, leaves, and other plants.",Retain candidates with a herbivorous diet.,diet,diet_type:herbivore,{diet_type:herbivore},f,3,https://nationalzoo.si.edu/animals/addax,legacy,2026-07-11 17:24:21.584256+00
5,50,survey,Nearly all detections occur on arid sand and gravel plains.,Retain candidates associated with desert habitat.,habitat,habitat_tag:desert,{habitat_tag:desert},f,3,https://saharaconservation.org/sahel-and-sahara-fauna/addax/,legacy,2026-07-11 17:24:21.584256+00
6,50,survey,Survey cameras record most movement during cool nighttime hours.,Retain candidates with a nocturnal activity pattern.,behavior,activity_pattern:nocturnal,{activity_pattern:nocturnal},f,2,https://animaldiversity.org/accounts/Addax_nasomaculatus/,legacy,2026-07-11 17:24:21.584256+00
58,32,track,Partial field signs indicate a diet not specialized on large vertebrate prey.,Retain candidates consistent with the broad signal: a diet not specialized on large vertebrate prey.,key_fact,research_signal:not_large_prey_specialist,{research_signal:not_large_prey_specialist},f,1,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
59,32,track,Four separated trail segments replicate a repeated digging trace.,Retain candidates with the replicated signal: a repeated digging trace.,key_fact,research_signal:digging_trace,{research_signal:digging_trace},f,2,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
60,32,track,Eight aligned trace points resolve a repeated digging trace.,Retain candidates with the replicated signal: a repeated digging trace.,key_fact,research_signal:digging_trace,{research_signal:digging_trace},f,3,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
61,32,observe,A brief sighting indicates a body mass below one tonne.,Retain candidates consistent with the broad signal: a body mass below one tonne.,key_fact,research_signal:subtonne_body_mass,{research_signal:subtonne_body_mass},f,1,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
62,32,observe,Four independent sightings replicate predation on vertebrate prey.,Retain candidates with the replicated signal: predation on vertebrate prey.,key_fact,research_signal:vertebrate_predation,{research_signal:vertebrate_predation},f,2,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
63,32,observe,Eight timed sightings resolve predation on vertebrate prey.,Retain candidates with the replicated signal: predation on vertebrate prey.,key_fact,research_signal:vertebrate_predation,{research_signal:vertebrate_predation},f,3,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
64,32,listen,A short listening sample supports a range outside the Sahara.,Retain candidates consistent with the broad signal: a range outside the Sahara.,key_fact,research_signal:non_saharan_range,{research_signal:non_saharan_range},f,1,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
65,32,listen,Four listening stations replicate a low-frequency signal carried through the substrate.,Retain candidates with the replicated signal: a low-frequency signal carried through the substrate.,key_fact,research_signal:substrate_vibration,{research_signal:substrate_vibration},f,2,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
66,32,listen,Eight calibrated recordings resolve a low-frequency signal carried through the substrate.,Retain candidates with the replicated signal: a low-frequency signal carried through the substrate.,key_fact,research_signal:substrate_vibration,{research_signal:substrate_vibration},f,3,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
67,32,survey,Initial habitat readings support routine travel in contact with the ground.,Retain candidates consistent with the broad signal: routine travel in contact with the ground.,key_fact,research_signal:ground_contact_travel,{research_signal:ground_contact_travel},f,1,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
68,32,survey,Four survey plots replicate persistent use of arid ground.,Retain candidates with the replicated signal: persistent use of arid ground.,key_fact,research_signal:arid_ground,{research_signal:arid_ground},f,2,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
69,32,survey,Eight mapped plots resolve persistent use of arid ground.,Retain candidates with the replicated signal: persistent use of arid ground.,key_fact,research_signal:arid_ground,{research_signal:arid_ground},f,3,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
70,32,analyze,A preliminary sample supports body cover without overlapping scales.,Retain candidates consistent with the broad signal: body cover without overlapping scales.,key_fact,research_signal:non_scaled_body_cover,{research_signal:non_scaled_body_cover},f,1,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
71,32,analyze,Four replicate samples confirm sensory adaptations that support nonvisual foraging cues.,Retain candidates with the replicated signal: sensory adaptations that support nonvisual foraging cues.,key_fact,research_signal:nonvisual_foraging,{research_signal:nonvisual_foraging},f,2,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
72,32,analyze,Eight high-resolution assays resolve sensory adaptations that support nonvisual foraging cues.,Retain candidates with the replicated signal: sensory adaptations that support nonvisual foraging cues.,key_fact,research_signal:nonvisual_foraging,{research_signal:nonvisual_foraging},f,3,https://www.mammaldiversity.org/taxon/1000483/,reviewed,2026-07-19 04:20:34.021515+00
14,32,analyze,Soil DNA first revealed survival before a matching specimen was documented.,This rediscovery through soil DNA is the case signature.,key_fact,signature:rediscovered_by_soil_edna,{signature:rediscovered_by_soil_edna},t,3,https://link.springer.com/article/10.1007/s10531-023-02728-2,reviewed,2026-07-11 17:24:21.584256+00
8,32,track,Feeding remains include small animal prey rather than plants.,Retain candidates with a carnivorous diet.,diet,diet_type:carnivore,{diet_type:carnivore},f,2,https://ewt.org.za/wp-content/uploads/2022/11/13.-De-Wintons-Golden-Mole-Cryptochloris-wintoni-Critically-Endangered-Possibly-Extinct.pdf,legacy,2026-07-11 17:24:21.584256+00
9,32,track,Feeding traces contain insect larvae and pupal remains.,Retain candidates with an insectivorous diet.,diet,diet_type:insectivore,{diet_type:insectivore},f,3,https://ewt.org.za/wp-content/uploads/2022/11/13.-De-Wintons-Golden-Mole-Cryptochloris-wintoni-Critically-Endangered-Possibly-Extinct.pdf,legacy,2026-07-11 17:24:21.584256+00
10,32,observe,Diet evidence shows repeated consumption of insects and their larvae.,Retain candidates with an insectivorous diet.,diet,diet_type:insectivore,{diet_type:insectivore},f,3,https://ewt.org.za/wp-content/uploads/2022/11/13.-De-Wintons-Golden-Mole-Cryptochloris-wintoni-Critically-Endangered-Possibly-Extinct.pdf,legacy,2026-07-11 17:24:21.584256+00
11,32,observe,The animal advances by digging through loose sand below the surface.,Retain candidates that dig while foraging.,behavior,foraging_style:dig,{foraging_style:dig},f,3,https://link.springer.com/article/10.1007/s10531-023-02728-2,legacy,2026-07-11 17:24:21.584256+00
12,32,survey,Subsurface runs occur in loose sand within an arid desert landscape.,Retain candidates associated with desert habitat.,habitat,habitat_tag:desert,{habitat_tag:desert},f,3,https://link.springer.com/article/10.1007/s10531-023-02728-2,legacy,2026-07-11 17:24:21.584256+00
13,32,survey,Shallow tunnels bear narrow grooves from specialized digging claws.,Retain candidates with specialized digging claws.,morphology,distinctive_features:claws_digging,{distinctive_features:claws_digging},f,3,https://link.springer.com/article/10.1007/s10531-023-02728-2,legacy,2026-07-11 17:24:21.584256+00
73,28,track,Partial field signs indicate a range outside the Sahara.,Retain candidates consistent with the broad signal: a range outside the Sahara.,key_fact,research_signal:non_saharan_range,{research_signal:non_saharan_range},f,1,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
74,28,track,Four separated trail segments replicate tree-feeding debris below a used feeding site.,Retain candidates with the replicated signal: tree-feeding debris below a used feeding site.,key_fact,research_signal:tree_feeding_debris,{research_signal:tree_feeding_debris},f,2,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
75,28,track,Eight aligned trace points resolve tree-feeding debris below a used feeding site.,Retain candidates with the replicated signal: tree-feeding debris below a used feeding site.,key_fact,research_signal:tree_feeding_debris,{research_signal:tree_feeding_debris},f,3,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
76,28,observe,A brief sighting indicates a body larger than mouse-sized.,Retain candidates consistent with the broad signal: a body larger than mouse-sized.,key_fact,research_signal:larger_than_mouse,{research_signal:larger_than_mouse},f,1,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
77,28,observe,Four independent sightings replicate coordinated movement in a herd group.,Retain candidates with the replicated signal: coordinated movement in a herd group.,key_fact,research_signal:herd_group,{research_signal:herd_group},f,2,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
78,28,observe,Eight timed sightings resolve coordinated movement in a herd group.,Retain candidates with the replicated signal: coordinated movement in a herd group.,key_fact,research_signal:herd_group,{research_signal:herd_group},f,3,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
79,28,listen,A short listening sample supports body cover without overlapping scales.,Retain candidates consistent with the broad signal: body cover without overlapping scales.,key_fact,research_signal:non_scaled_body_cover,{research_signal:non_scaled_body_cover},f,1,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
80,28,listen,Four listening stations replicate a low-frequency signal carried through the substrate.,Retain candidates with the replicated signal: a low-frequency signal carried through the substrate.,key_fact,research_signal:substrate_vibration,{research_signal:substrate_vibration},f,2,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
