id,species_id,category,fact_text,sort_order
1,1,key_fact,"Its bottom shell (plastron) is hinged, allowing it to fully close up for protection.",1
2,1,key_fact,"It has one of the longest generation times of any turtle, taking 36-47 years for one generation to replace the next.",2
3,1,key_fact,"Despite being a turtle, it is highly mobile on land and will travel long distances between wetlands.",3
4,1,behavior,Is highly mobile and travels extensively between different wetlands.,1
5,1,behavior,"Leaves strong scent trails, making it vulnerable to predators like raccoons and foxes.",2
6,1,life_description,"Has an extremely long generation time, calculated at 36-47 years.",1
7,1,life_description,"Females reach maturity very late, between 14 and 20 years of age.",2
8,1,diet_prey,"crayfish, small animals, carrion",1
9,1,diet_flora,"plant material, seeds",1
10,1,threat,"habitat loss, road mortality, nest predation, illegal collection for the pet trade",1
11,2,key_fact,"Its name comes from the small, cone-like spines found along the front edge of its upper shell.",1
12,2,key_fact,"Has a very long, tubular snout with nostrils at the tip, which it uses like a snorkel to breathe while buried underwater.",2
13,2,key_fact,"Unlike most turtles, its shell is not made of hard scutes but is a soft, flexible, leathery disk.",3
14,2,behavior,"An ambush predator that buries itself in sand or mud at the bottom of a river, with only its head exposed.",1
15,2,behavior,Forages by actively thrusting its long snout into vegetation or under rocks.,2
16,2,life_description,Females can produce two clutches of eggs per year in warmer climates.,1
17,2,life_description,Has a generation time of about 25 years.,2
18,2,diet_prey,"crayfish, fish, insects, snails, carrion",1
19,2,diet_flora,"algae, leaves, acorns, pecans",1
20,2,threat,"nest predation (raccoons), human harvest (for food/pets), boat strikes, habitat modification from dams",1
21,3,key_fact,Discovered by Charles Darwin during voyage of the Beagle,1
22,3,key_fact,Only frog whose male carries young in throat until fully formed,2
23,3,key_fact,Perfect leaf disguise lets it vanish among forest litter,3
24,3,behavior,Male shelters developing tadpoles inside vocal sac; releases live froglets from mouth,1
25,3,behavior,Diurnal sit and wait hunter that chirps a soft peep call and basks in sun patches,2
26,3,life_description,Female deposits eggs on moist ground close to stream; male guards until tadpoles hatch,1
27,3,life_description,Inside vocal sac tadpoles complete metamorphosis in six weeks then leap out as mini frogs,2
28,3,diet_prey,Ants; springtails; small beetles; spiders,1
29,3,diet_flora,None,1
30,3,threat,Deforestation; plantation forestry; chytrid fungus; drought; wildfire,1
31,4,key_fact,"Only modern turtle whose skull is too large to retract, protected instead by horn-like scales.",1
32,4,key_fact,"Its tail works like an extra limb, bracing the body as it climbs slick granite waterfalls.",2
33,4,key_fact,"Represents an entire family on its own, no close living relatives share its quirky build.",3
34,4,behavior,"Climbs waterfalls using tail, claws and beak; can scale vertical mossy rock.",1
35,4,behavior,Aggressive when handled; delivers powerful bite and emits a raspy hiss.,2
36,4,life_description,Nest is a shallow cavity in streamside sand or moss bank during early summer.,1
37,4,life_description,Hatchlings boast proportionally giant heads and tails nearly the length of the shell.,2
38,4,diet_prey,"Snails, crabs, freshwater shrimp, small fish, carrion",1
39,4,diet_flora,Occasional fruit or fallen figs,1
40,4,threat,"Over-collection, hydropower dams, sedimentation, deforestation, by-catch in eel traps.",1
41,5,key_fact,Largest of Asia’s ‘parachute’ frogs – its splayed feet can eclipse a golf ball.,1
42,5,key_fact,"Black velvet between the toes turns into living wings, letting it surf the humid night air.",2
43,5,key_fact,"First described by Alfred Russel Wallace’s expedition, hence a name that literally ‘flies’ in evolutionary history.",3
44,5,behavior,"Launches from branches and glides up to 15 m, steering with outstretched webbed fingers and toes.",1
45,5,behavior,"At dusk, pairs build frothy, golf-ball-size nests on leaves that hang above rain-filled pools.",2
46,5,life_description,"Female whips mucous into foam with her hind legs, then embeds fertilised eggs inside the airy cradle.",1
47,5,life_description,"Tadpoles wriggle free when rain softens the nest, plopping straight into the pool below to finish growing.",2
48,5,diet_prey,Moths; crickets; beetles; arboreal spiders,1
49,5,diet_flora,None,1
50,5,threat,Deforestation; peat-swamp drainage; local pet collection; pesticide drift,1
51,6,key_fact,Iconic frog with traffic light colours that advertises the rainforest in posters worldwide,1
52,6,key_fact,Huge red eyes inspired the common name and help blind night predators with sudden flash,2
53,6,key_fact,Eggs sense snake vibrations and can hatch early turning aerial ambush into splash escape,3
54,6,behavior,Flashes red eyes and blue flanks to startle predators then snaps them shut to vanish,1
55,6,behavior,Egg clutches jiggle when attacked so tadpoles drop into water early to escape,2
56,6,life_description,Couples in amplexus stick gelatinous eggs to leaf undersides above still water,1
57,6,life_description,Tadpoles develop into tiny tree climbers in about ten weeks,2
58,6,diet_prey,moths; crickets; flies; small grasshoppers,1
59,6,diet_flora,none,1
60,6,threat,deforestation; agrochemical runoff; chytrid fungus; pet trade,1
61,7,key_fact,Nicknamed Wolverine frog because it pops claws in self defence,1
62,7,key_fact,Hairy flanks are not fur but skin threads packed with blood vessels,2
63,7,key_fact,Frog is roasted and eaten in Cameroon where hunters spear it in rivers,3
64,7,behavior,Breaks its own toe bones to project sharp claws when grabbed,1
65,7,behavior,Males grow ‘hair’ that boosts skin breathing during underwater egg guarding,2
66,7,life_description,Eggs anchored under submerged stones in swift water where males stay to defend,1
67,7,life_description,Tadpoles cling to rocks with suction mouthparts until metamorphosis,2
68,7,diet_prey,beetles; crickets; millipedes; small spiders,1
