habitat_tags,morphology_tags,diet_tags,behavior_tags,reproduction_tags,habitat_note,morphology_note,diet_note,behavior_note,reproduction_note,reference_summary,created_at,updated_at,taxonomy_tags,species_id,geography_tags,conservation_tags,key_fact_tags,signature_tag,scientific_name
"{freshwater,aquatic,terrestrial,wetland}","{shelled,domed_shell,dark_coloration,brown_coloration,spotted}","{scavenger,omnivore,piscivore,crustacean_eater}","{migratory,scent_trail}","{long_lived,egg_laying}","Prefers shallow, clear standing water with abundant aquatic vegetation, but also uses open grasslands for nesting.","Has a high, domed upper shell (carapace) and a hinged lower shell (plastron) that allows it to close completely.. Has a dark, smooth upper shell often covered in yellow spots or flecks, with a distinctive bright yellow chin and throat.","Diet: Omnivore. Preys on: crayfish, small animals, carrion. Plants: plant material, seeds","Is highly mobile and travels extensively between different wetlands.. Leaves strong scent trails, making it vulnerable to predators like raccoons and foxes.",Reproduction: Oviparous. Clutch: 8-15. Lifespan: 77.000000000000000000000000000000 years,"Blanding's Turtle (Emydoidea blandingii) — REPTILIA, EMYDIDAE. EN.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{testudines,reptilia,emydoidea,emydidae}",1,{},{},{},,Emydoidea blandingii
"{lentic,freshwater,arid,riverine,aquatic,terrestrial,wetland}","{shelled,large_bodied,leathery_skin,flattened_body,brown_coloration,specialized_snout,spotted}","{scavenger,folivore,molluscivore,omnivore,carnivore,piscivore,insect_eater,crustacean_eater}",{ambush_predator},"{long_lived,egg_laying}","Found in nearly any type of freshwater body, but prefers a soft bottom with sandbars or mudbanks for basking and nesting.","Has a flat, leathery, pancake-like shell instead of a hard dome, and a long, snorkel-like snout.. Its leathery upper shell is olive to tan with small dark spots or circles. The underside is a light cream or white color.","Diet: Omnivore (Primarily Carnivore). Preys on: crayfish, fish, insects, snails, carrion. Plants: algae, leaves, acorns, pecans","An ambush predator that buries itself in sand or mud at the bottom of a river, with only its head exposed.. Forages by actively thrusting its long snout into vegetation or under rocks.",Reproduction: Oviparous. Clutch: 12-18. Lifespan: 65.000000000000000000000000000000 years,"Spiny Softshell Turtle (Apalone spinifera) — REPTILIA, TRIONYCHIDAE. LC.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{testudines,apalone,reptilia,trionychidae}",2,{},{},{},,Apalone spinifera
"{temperate,forest,freshwater,riverine,aquatic,terrestrial,wetland}","{tiny,green_coloration,flattened_body,webbed_digits,brown_coloration,slender}","{carnivore,insect_eater}",{parental_care},"{metamorphosis,egg_laying,short_lived,oral_brooding}",Hides among wet leaves and moss by day; often near shallow shaded streams,Small flat body with long slender limbs and tiny webbing. Pointed nose and triangular head mimic fallen leaf,Diet: Carnivore. Preys on: Ants; springtails; small beetles; spiders. Plants: None,Male shelters developing tadpoles inside vocal sac; releases live froglets from mouth. Diurnal sit and wait hunter that chirps a soft peep call and basks in sun patches,Reproduction: Oviparous. Clutch: four to ten eggs. Lifespan: 10.000000000000000000000000000000 years,"Darwin Frog (Rhinoderma darwinii) — AMPHIBIA, Rhinodermatidae. EN.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{rhinodermatidae,anura,amphibia,rhinoderma}",3,{},{},{},,Rhinoderma darwinii
"{montane,forest,freshwater,riverine,aquatic,terrestrial}","{shelled,brown_coloration,beak,prehensile_tail}","{crustacean_eater,frugivore,scavenger,molluscivore,carnivore,piscivore}","{climber,bone_claw_defense}",{egg_laying},"Nocturnal stream-bank ambusher that hides beneath flat rocks in clear, fast water up to 1 200 m elevation.","Enormous head fixed outside the shell; hooked beak, long prehensile tail and vise-like jaws.. Serrated posterior rim and pale bridge mottling","Diet: Carnivore (opportunistic). Preys on: Snails, crabs, freshwater shrimp, small fish, carrion. Plants: Occasional fruit or fallen figs","Climbs waterfalls using tail, claws and beak; can scale vertical mossy rock.. Aggressive when handled; delivers powerful bite and emits a raspy hiss.","Reproduction: Oviparous. Clutch: 13 eggs per clutch, up to 2 clutches per year. Lifespan: 30.000000000000000000000000000000 years","Big-headed Turtle (Platysternon megacephalum) — REPTILIA, Platysternidae. CR.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{platysternon,testudines,reptilia,platysternidae}",4,{},{},{},,Platysternon megacephalum
"{forest,lentic,freshwater,tropical,aquatic,terrestrial}","{gliding_membranes,green_coloration,flattened_body}","{carnivore,insect_eater}",{glider},"{egg_laying,short_lived}","Spends most of its life 20–30 m up in emergent trees, gliding between trunks and descending only to mate.","Broad, flat body with parachute-like skin flaps; toes spread wider than its head when fully splayed.. Huge yellow toe pads and jet-black membranes give the feet a superhero-cape look.",Diet: Carnivore. Preys on: Moths; crickets; beetles; arboreal spiders. Plants: None,"Launches from branches and glides up to 15 m, steering with outstretched webbed fingers and toes.. At dusk, pairs build frothy, golf-ball-size nests on leaves that hang above rain-filled pools.",Reproduction: Oviparous. Clutch: 200–1000 eggs. Lifespan: 8.000000000000000000000000000000 years,"Wallace's Flying Frog (Rhacophorus nigropalmatus) — AMPHIBIA, Rhacophoridae. LC.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{rhacophorus,anura,rhacophoridae,amphibia}",5,{},{},{},,Rhacophorus nigropalmatus
"{forest,freshwater,tropical,riverine,aquatic,terrestrial}","{tiny,adhesive_pads,green_coloration,leathery_skin,slender}",{insect_eater},{startle_display},"{egg_laying,short_lived}",Spends nights clinging to broad leaves high above forest ponds then descends to lay eggs on overhanging vegetation,Slender limbs with jumbo suction pads and soft body ideal for leaf life. large crimson eyes and white belly with smooth skin,Diet: insectivore. Preys on: moths; crickets; flies; small grasshoppers. Plants: none,Flashes red eyes and blue flanks to startle predators then snaps them shut to vanish. Egg clutches jiggle when attacked so tadpoles drop into water early to escape,Reproduction: oviparous. Clutch: twenty to fifty eggs. Lifespan: 5.000000000000000000000000000000 years,"Red-eyed Tree Frog (Agalychnis callidryas) — AMPHIBIA, Phyllomedusidae. LC.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{agalychnis,anura,phyllomedusidae,amphibia}",6,{},{},{},,Agalychnis callidryas
"{forest,freshwater,riverine,aquatic,terrestrial}","{dermal_filaments,striped,brown_coloration,specialized_snout}",{insect_eater},{bone_claw_defense},"{egg_laying,short_lived}",Adults hide along rocky forest torrents by day then prowl banks on humid nights,Robust body short snout and wide head males sprout hair-like skin filaments on flanks and thighs. broad dark mid-back band with black limbs,Diet: insectivore. Preys on: beetles; crickets; millipedes; small spiders. Plants: none,Breaks its own toe bones to project sharp claws when grabbed. Males grow ‘hair’ that boosts skin breathing during underwater egg guarding,Reproduction: oviparous. Clutch: one hundred to two hundred eggs. Lifespan: 15.000000000000000000000000000000 years,"Hairy Frog (Trichobatrachus robustus) — AMPHIBIA, Arthroleptidae. LC.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{trichobatrachus,arthroleptidae,anura,amphibia}",7,{},{},{},,Trichobatrachus robustus
"{montane,forest,freshwater,riverine,aquatic,terrestrial}","{prehensile_tail,tiny,flattened_body,striped,brown_coloration,slender}","{molluscivore,insect_eater}",{voiceless},{egg_laying},Lives all year in frigid clear streams where water tumbles over stones; adults shelter in moist leaf litter nearby,Slender body with flat head; vertical pupils; males carry a tail-like copulatory organ. fine bumps and a dark eye stripe,Diet: insectivore. Preys on: aquatic insect larvae; small snails; spiders. Plants: none,Voiceless frog that uses body signals instead of croaks beside roaring streams. Internal fertilisation underwater with the male tail organ,Reproduction: oviparous. Clutch: forty to eighty eggs. Lifespan: 20.000000000000000000000000000000 years,"Coastal Tailed Frog (Ascaphus truei) — AMPHIBIA, Ascaphidae. LC.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{anura,ascaphidae,ascaphus,amphibia}",8,{},{},{},,Ascaphus truei
"{forest,freshwater,tropical,aquatic,terrestrial}","{tiny,adhesive_pads,yellow_coloration,blue_coloration,striped,dark_coloration,spotted}",{insect_eater},{parental_care},"{metamorphosis,egg_laying,short_lived}",Active by day on damp forest floor around canopy gaps; requires small water pockets for tadpoles,Sturdy limbs smooth skin and adhesive toe pads suited to short climbs. irregular stripes blotches and spots varying by morph,Diet: insectivore. Preys on: ants; termites; fruit flies; tiny beetles; mites. Plants: none,Males guard eggs then ferry tadpoles piggyback to rain pools. Rarely calls; relies on vivid warning colours to deter predators,Reproduction: oviparous. Clutch: two to six eggs. Lifespan: 8.000000000000000000000000000000 years,"Dyeing Poison Dart Frog (Dendrobates tinctorius) — AMPHIBIA, Dendrobatidae. LC.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{anura,dendrobatidae,dendrobates,amphibia}",9,{},{},{},,Dendrobates tinctorius
"{forest,lentic,freshwater,riverine,aquatic,terrestrial,wetland}","{grey_coloration,flattened_body,brown_coloration,spotted}","{crustacean_eater,vermivore,carnivore,piscivore,insect_eater}",{suction_feeder},"{egg_laying,short_lived}",Lies motionless buried in leaf litter or soft mud on the floor of dark still waters,Extremely flat triangle head star finger tips and wide splayed limbs. speckled warty skin with rough ridges,Diet: carnivore. Preys on: small fish; aquatic insects; worms; crustaceans. Plants: none,Creates instant vacuum to suck prey into tongueless mouth. Males perform underwater somersaults while pressing eggs onto female back,Reproduction: oviparous. Clutch: up to one hundred eggs. Lifespan: 8.000000000000000000000000000000 years,"Suriname Toad (Pipa pipa) — AMPHIBIA, Pipidae. LC.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{anura,pipidae,pipa,amphibia}",10,{},{},{},,Pipa pipa
