id,category,label,compare_tags,reveal_order,unlock_mode,base_cost,is_filtering,created_at,species_id
342,reproduction,Reproduction: Oviparous. Clutch: 8-15. Lifespan: 77 years,"{long_lived,egg_laying}",1,fragment,2,t,2026-04-12 03:02:50.757208+00,1
23,habitat,"Prefers shallow, clear standing water with abundant aquatic vegetation, but also uses open grasslands for nesting.","{lentic,grassland,aquatic}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,1
210,taxonomy,"Family: EMYDIDAE, Genus: Emydoidea","{emydoidea,emydidae}",2,score,120,t,2026-04-12 02:54:11.560457+00,1
1,habitat,Lives in freshwater aquatic environments,"{freshwater,aquatic,terrestrial,wetland}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,1
343,reproduction,Reproduction: Oviparous. Clutch: 12-18. Lifespan: 65 years,"{long_lived,egg_laying}",1,fragment,2,t,2026-04-12 03:02:50.757208+00,2
112,diet,"Plant diet: algae, leaves, acorns, pecans","{folivore,granivore}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,2
68,morphology,Primary color: Olive / Brown / Tan. Pattern: Its leathery upper shell is olive to tan with small dark spots or circles. The underside is a light cream or white color.,"{leathery_skin,yellow_coloration,dark_coloration,brown_coloration,spotted}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,2
24,habitat,"Found in nearly any type of freshwater body, but prefers a soft bottom with sandbars or mudbanks for basking and nesting","{grassland,muddy_substrate,arid}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,2
211,taxonomy,"Family: TRIONYCHIDAE, Genus: Apalone","{apalone,trionychidae}",2,score,120,t,2026-04-12 02:54:11.560457+00,2
123,behavior,"An ambush predator that buries itself in sand or mud at the bottom of a river, with only its head exposed.",{ambush_predator},1,fragment,2,t,2026-04-12 02:54:11.560457+00,2
299,geography,"Has a very large native range covering most of the United States east of the Rocky Mountains, southern Canada, and northern Mexico.",,1,score,50,f,2026-04-12 02:54:11.560457+00,2
277,key_fact,"Unlike most turtles, its shell is not made of hard scutes but is a soft, flexible, leathery disk.",,3,score,100,f,2026-04-12 02:54:11.560457+00,2
2,habitat,Lives in freshwater aquatic environments,"{lentic,freshwater,arid,riverine,aquatic,terrestrial,wetland}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,2
